config,smote,model,acc,prec,rec,f1,cm,paper_acc
IQR1.5_split30,False,Decision Tree,0.8464,0.6537,0.4727,0.5486,"[[2162, 142], [299, 268]]",0.87
IQR1.5_split30,False,Random Forest,0.86,0.7816,0.4039,0.5326,"[[2240, 64], [338, 229]]",0.87
IQR1.5_split30,False,SVC,0.8506,0.7695,0.3474,0.4787,"[[2245, 59], [370, 197]]",0.87
IQR1.5_split30,False,KNN,0.8262,0.6298,0.291,0.3981,"[[2207, 97], [402, 165]]",0.87
IQR1.5_split30,False,XGBoost,0.8603,0.75,0.4392,0.5539,"[[2221, 83], [318, 249]]",0.87
IQR1.5_split30,False,Voting (hard vote),0.8593,0.7782,0.4021,0.5302,"[[2239, 65], [339, 228]]",0.87
IQR1.5_split30,True,Decision Tree,0.791,0.4774,0.6155,0.5378,"[[1922, 382], [218, 349]]",0.9
IQR1.5_split30,True,Random Forest,0.8349,0.5784,0.6049,0.5914,"[[2054, 250], [224, 343]]",0.9
IQR1.5_split30,True,SVC,0.7875,0.4735,0.6772,0.5573,"[[1877, 427], [183, 384]]",0.9
IQR1.5_split30,True,KNN,0.737,0.3956,0.6279,0.4853,"[[1760, 544], [211, 356]]",0.9
IQR1.5_split30,True,XGBoost,0.8541,0.644,0.5838,0.6124,"[[2121, 183], [236, 331]]",0.9
IQR1.5_split30,True,Voting (hard vote) + SMOTE,0.8283,0.5589,0.619,0.5874,"[[2027, 277], [216, 351]]",0.9
IQR1.5_split20,False,Decision Tree,0.8568,0.7524,0.4101,0.5308,"[[1485, 51], [223, 155]]",0.87
IQR1.5_split20,False,Random Forest,0.86,0.7806,0.4048,0.5331,"[[1493, 43], [225, 153]]",0.87
IQR1.5_split20,False,SVC,0.8537,0.7882,0.3545,0.4891,"[[1500, 36], [244, 134]]",0.87
IQR1.5_split20,False,KNN,0.8297,0.6429,0.3095,0.4179,"[[1471, 65], [261, 117]]",0.87
IQR1.5_split20,False,XGBoost,0.8657,0.7738,0.4524,0.571,"[[1486, 50], [207, 171]]",0.87
IQR1.5_split20,False,Voting (hard vote),0.8615,0.7958,0.4021,0.5343,"[[1497, 39], [226, 152]]",0.87
IQR1.5_split20,True,Decision Tree,0.8093,0.514,0.6296,0.566,"[[1311, 225], [140, 238]]",0.9
IQR1.5_split20,True,Random Forest,0.8354,0.5778,0.619,0.5977,"[[1365, 171], [144, 234]]",0.9
IQR1.5_split20,True,SVC,0.7915,0.4813,0.7143,0.5751,"[[1245, 291], [108, 270]]",0.9
IQR1.5_split20,True,KNN,0.7414,0.4061,0.6693,0.5055,"[[1166, 370], [125, 253]]",0.9
