Model,Accuracy,Precision,Recall,F1-Score,ConfusionMatrix
Decision Tree,0.7948,0.4804,0.4744,0.4774,"[[2013, 291], [298, 269]]"
Random Forest,0.8568,0.7566,0.4056,0.5281,"[[2230, 74], [337, 230]]"
Support Vector Classifier,0.8506,0.7695,0.3474,0.4787,"[[2245, 59], [370, 197]]"
K-Nearest Neighbors,0.8258,0.6159,0.3139,0.4159,"[[2193, 111], [389, 178]]"
XGBoost,0.8596,0.7531,0.4303,0.5477,"[[2224, 80], [323, 244]]"
Voting Classifier (no SMOTE),0.8558,0.7684,0.3862,0.5141,"[[2238, 66], [348, 219]]"
Decision Tree,0.7638,0.423,0.5379,0.4736,"[[1888, 416], [262, 305]]"
Random Forest,0.8286,0.565,0.575,0.5699,"[[2053, 251], [241, 326]]"
Support Vector Classifier,0.7398,0.4138,0.7619,0.5363,"[[1692, 612], [135, 432]]"
K-Nearest Neighbors,0.7217,0.3833,0.672,0.4881,"[[1691, 613], [186, 381]]"
XGBoost,0.8537,0.6384,0.5979,0.6175,"[[2112, 192], [228, 339]]"
Voting Classifier (SMOTE on train),0.8206,0.539,0.6332,0.5823,"[[1997, 307], [208, 359]]"
Decision Tree,0.871,0.8753,0.8712,0.8733,"[[2006, 298], [309, 2091]]"
Random Forest,0.9162,0.9458,0.8867,0.9153,"[[2182, 122], [272, 2128]]"
Support Vector Classifier,0.8754,0.9089,0.84,0.8731,"[[2102, 202], [384, 2016]]"
K-Nearest Neighbors,0.8461,0.8446,0.8558,0.8502,"[[1926, 378], [346, 2054]]"
XGBoost,0.9128,0.941,0.8846,0.9119,"[[2171, 133], [277, 2123]]"
Voting Classifier (SMOTE on full data),0.9101,0.9326,0.8879,0.9097,"[[2150, 154], [269, 2131]]"
